Millas_Por_Galon,Cilindros,Pais_Origen,Peso_En_Libras,Desplazamiento,Aceleracion,Nombre,Anyo,Caballo_De_Fuerza,Log10(var1/var2),Sqrt(var1)*exp(var2)/200,5 o 3,1/logn(var1/var2)*100,var2**2/var1
18.0,8,USA,3504,307.0,12.0,chevrolet chevelle malibu,1/01/1970,130.0,1.4079571294295616,260456.05119350788,3,0.0072134752044448166,0.0182648401826484
15.0,8,USA,3693,350.0,11.5,buick skylark 320,1/01/1970,165.0,1.4833702039966639,264103.5562421498,3,0.007441944940807903,0.017330083942594096
18.0,8,USA,3436,318.0,11.0,plymouth satellite,1/01/1970,150.0,1.4610344348262074,250445.1162281812,3,0.007696552731115765,0.018626309662398137
16.0,8,USA,3433,304.0,12.0,amc rebel sst,1/01/1970,150.0,1.4036923375611288,235709.78,3,0.0072134752044448166,0.01864258665889892
17.0,8,USA,3449,302.0,10.5,ford torino,1/01/1970,140.0,1.4588176438872125,245234.09701601532,3,0.00798235600147928,0.01855610321832415
15.0,8,USA,4341,429.0,10.0,ford galaxie 500,1/01/1970,198.0,1.632457292184724,364917.93242126424,3,0.008305835450825373,0.0147431467403824
14.0,8,USA,4354,454.0,9.0,chevrolet impala,1/01/1970,220.0,1.702813343417779,354658.90722403914,3,0.009102392266268373,0.014699127239320165
14.0,8,USA,4312,440.0,8.5,plymouth fury iii,1/01/1970,215.0,1.7140337507718946,347849.6146121447,3,0.009601961490277224,0.014842300556586271
14.0,8,USA,4425,455.0,10.0,pontiac catalina,1/01/1970,225.0,1.6580113966571122,366319.95084450254,3,0.008305835450825373,0.014463276836158192
15.0,8,USA,3850,390.0,8.5,amc ambassador dpl,1/01/1970,190.0,1.6616456813122062,287036.4782457972,3,0.009601961490277224,0.016623376623376623
23.51,4,Europe,3090,133.0,17.5,citroen ds-21 pallas,1/01/1970,115.0,0.8808135922807911,231479.89556174746,3,0.005670256682244421,0.005177993527508091
23.51,8,USA,4142,350.0,11.5,chevrolet chevelle concours (sw),1/01/1970,165.0,1.4833702039966639,415926.42001656996,3,0.007441944940807903,0.01545147271849348
23.51,8,USA,4034,351.0,11.0,ford torino (sw),1/01/1970,153.0,1.503914431307599,394519.1662571636,3,0.007696552731115765,0.015865146256817054
23.51,8,USA,4166,383.0,10.5,plymouth satellite (sw),1/01/1970,175.0,1.5620094748986844,420760.3911035766,3,0.00798235600147928,0.015362457993278924
23.51,8,USA,3850,360.0,11.0,amc rebel sst (sw),1/01/1970,175.0,1.5149098156090621,359350.10650956753,3,0.007696552731115765,0.016623376623376623
15.0,8,USA,3563,383.0,10.0,dodge challenger se,1/01/1970,170.0,1.5831987739686226,245837.01758809714,3,0.008305835450825373,0.01796239124333427
14.0,8,USA,3609,340.0,8.0,plymouth 'cuda 340,1/01/1970,160.0,1.6283889300503114,243673.2110275078,3,0.010195454478232661,0.01773344416735938
23.51,8,USA,3353,302.0,8.0,ford mustang boss 302,1/01/1970,140.0,1.5769169559652068,272560.8191327659,3,0.010195454478232661,0.019087384431852074
15.0,8,USA,3761,400.0,9.5,chevrolet monte carlo,1/01/1970,150.0,1.6243363860391145,273919.090315444,3,0.00867543832763587,0.01701675086413188
14.0,8,USA,3086,455.0,10.0,buick estate wagon (sw),1/01/1970,225.0,1.6580113966571122,178166.42495286703,3,0.008305835450825373,0.020738820479585224
24.0,4,Japan,2372,113.0,15.0,toyota corona mark ii,1/01/1970,95.0,0.8769871844277383,137817.69896959385,3,0.0062133493455961185,0.006745362563237774
22.0,6,USA,2833,198.0,15.5,plymouth duster,1/01/1970,95.0,1.1063334920912395,188223.78126096755,3,0.006089289436117395,0.012707377338510413
18.0,6,USA,2774,199.0,15.5,amc hornet,1/01/1970,97.0,1.108521378239415,163237.21264037557,3,0.006089289436117395,0.012977649603460706
21.0,6,USA,2587,200.0,16.0,ford maverick,1/01/1970,85.0,1.0969100130080565,153346.02018107456,3,0.0059737997497751796,0.013915732508697333
27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1970,88.0,0.8254037320312698,117872.1196328886,3,0.00634704488520105,0.007511737089201878
26.0,4,Europe,1835,97.0,20.5,volkswagen 1131 deluxe sedan,1/01/1970,46.0,0.6750178732104904,85847.72990828732,3,0.005203420985548809,0.008719346049046322
25.0,4,Europe,2672,110.0,17.5,peugeot 504,1/01/1970,87.0,0.7983546364719305,178489.59999999998,3,0.005670256682244421,0.005988023952095809
24.0,4,Europe,2430,107.0,14.5,audi 100 ls,1/01/1970,90.0,0.8680157754502347,144639.91982160386,3,0.00634704488520105,0.006584362139917695
25.0,4,Europe,2375,104.0,17.5,saab 99e,1/01/1970,95.0,0.7739952906124858,141015.625,3,0.005670256682244421,0.006736842105263158
26.0,4,Europe,2234,121.0,12.5,bmw 2002,1/01/1970,113.0,0.9858753573083936,127239.81115790135,3,0.007007137126891388,0.007162041181736795
21.0,6,USA,2648,199.0,15.0,amc gremlin,1/01/1970,90.0,1.1227618173540252,160662.90422881814,3,0.0062133493455961185,0.013595166163141994
10.0,8,USA,4615,360.0,14.0,ford f250,1/01/1970,215.0,1.410174465089049,336754.5055936984,5,0.009712326548170112,0.013867822318526544
10.0,8,USA,4376,307.0,15.0,chevy c20,1/01/1970,200.0,1.3110471164215052,302778.2196548226,5,0.009102392266268373,0.014625228519195612
11.0,8,USA,4382,318.0,13.5,dodge d200,1/01/1970,210.0,1.3720933514894265,318427.8858046016,5,0.01006794074949662,0.01460520310360566
9.0,8,USA,4732,304.0,18.5,hi 1200d,1/01/1970,193.0,1.2157018552057397,335877.36,5,0.007643315102860291,0.013524936601859678
27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1971,88.0,0.8254037320312698,117872.1196328886,3,0.00634704488520105,0.007511737089201878
28.0,4,USA,2264,140.0,15.5,chevrolet vega 2300,1/01/1971,90.0,0.9557963375079465,135613.1691211853,3,0.006089289436117395,0.007067137809187279
25.0,4,Japan,2228,113.0,14.0,toyota corona,1/01/1971,95.0,0.9069504078051817,124099.59999999999,3,0.006491630492608459,0.00718132854578097
25.0,4,USA,2046,98.0,19.0,ford pinto,1/01/1971,105.08,0.7124724747396658,104652.90000000001,3,0.005417626720578101,0.007820136852394917
23.51,4,Europe,1978,97.0,20.0,volkswagen super beetle 117,1/01/1971,48.0,0.6857417386022635,94852.52434589162,3,0.0052711478871493396,0.008088978766430738
19.0,6,USA,2634,232.0,13.0,amc gremlin,1/01/1971,100.0,1.2515446325840627,151209.2453936584,3,0.006819714384107116,0.01366742596810934
16.0,6,USA,3439,225.0,15.5,plymouth satellite custom,1/01/1971,105.0,1.1618508199410709,236534.42,3,0.006089289436117395,0.010468159348647864
17.0,6,USA,3329,250.0,15.5,chevrolet chevelle malibu,1/01/1971,100.0,1.207608310501746,228466.25105775346,3,0.006089289436117395,0.010814058275758487
19.0,6,USA,3302,250.0,15.5,ford torino 500,1/01/1971,88.0,1.207608310501746,237629.82198404224,3,0.006089289436117395,0.010902483343428226
18.0,6,USA,3288,232.0,15.5,amc matador,1/01/1971,100.0,1.175156286720608,229334.75440284054,3,0.006089289436117395,0.010948905109489052
14.0,8,USA,4209,350.0,12.0,chevrolet impala,1/01/1971,165.0,1.4648867983026508,331430.0433769038,3,0.0072134752044448166,0.015205511998099311
14.0,8,USA,4464,400.0,11.5,pontiac catalina brougham,1/01/1971,175.0,1.5413621509743505,372805.571384154,3,0.007441944940807903,0.014336917562724014
14.0,8,USA,4154,351.0,13.5,ford galaxie 500,1/01/1971,153.0,1.414973347970818,322824.8861773664,3,0.0066485940294251115,0.015406836783822821
14.0,8,USA,4096,318.0,13.0,plymouth fury iii,1/01/1971,150.0,1.3884837676775958,313872.9708795098,3,0.006819714384107116,0.015625
12.0,8,USA,4955,383.0,11.5,dodge monaco (sw),1/01/1971,180.0,1.5225009336150108,425253.5472870126,3,0.007441944940807903,0.012916246215943492
13.0,8,USA,4746,400.0,12.0,ford country squire (sw),1/01/1971,170.0,1.5228787452803374,406066.48696504516,3,0.0072134752044448166,0.0134850400337126
13.0,8,USA,5140,400.0,12.0,pontiac safari (sw),1/01/1971,175.0,1.5228787452803374,476286.112386242,3,0.0072134752044448166,0.012451361867704281
