Millas_Por_Galon,Cilindros,Pais_Origen,Peso_En_Libras,Desplazamiento,Aceleracion,Nombre,Anyo,Caballo_De_Fuerza,Variables_Cualitativas
18.0,8,USA,3504,307.0,12.0,chevrolet chevelle malibu,1/01/1970,130.0,Medio
15.0,8,USA,3693,350.0,11.5,buick skylark 320,1/01/1970,165.0,Alto
18.0,8,USA,3436,318.0,11.0,plymouth satellite,1/01/1970,150.0,Alto
16.0,8,USA,3433,304.0,12.0,amc rebel sst,1/01/1970,150.0,Alto
17.0,8,USA,3449,302.0,10.5,ford torino,1/01/1970,140.0,Medio
15.0,8,USA,4341,429.0,10.0,ford galaxie 500,1/01/1970,198.0,Alto
14.0,8,USA,4354,454.0,9.0,chevrolet impala,1/01/1970,220.0,Alto
14.0,8,USA,4312,440.0,8.5,plymouth fury iii,1/01/1970,215.0,Alto
14.0,8,USA,4425,455.0,10.0,pontiac catalina,1/01/1970,225.0,Alto
15.0,8,USA,3850,390.0,8.5,amc ambassador dpl,1/01/1970,190.0,Alto
23.51,4,Europe,3090,133.0,17.5,citroen ds-21 pallas,1/01/1970,115.0,Medio
23.51,8,USA,4142,350.0,11.5,chevrolet chevelle concours (sw),1/01/1970,165.0,Alto
23.51,8,USA,4034,351.0,11.0,ford torino (sw),1/01/1970,153.0,Alto
23.51,8,USA,4166,383.0,10.5,plymouth satellite (sw),1/01/1970,175.0,Alto
23.51,8,USA,3850,360.0,11.0,amc rebel sst (sw),1/01/1970,175.0,Alto
15.0,8,USA,3563,383.0,10.0,dodge challenger se,1/01/1970,170.0,Alto
14.0,8,USA,3609,340.0,8.0,plymouth 'cuda 340,1/01/1970,160.0,Alto
23.51,8,USA,3353,302.0,8.0,ford mustang boss 302,1/01/1970,140.0,Medio
15.0,8,USA,3761,400.0,9.5,chevrolet monte carlo,1/01/1970,150.0,Alto
14.0,8,USA,3086,455.0,10.0,buick estate wagon (sw),1/01/1970,225.0,Alto
24.0,4,Japan,2372,113.0,15.0,toyota corona mark ii,1/01/1970,95.0,Medio
22.0,6,USA,2833,198.0,15.5,plymouth duster,1/01/1970,95.0,Medio
18.0,6,USA,2774,199.0,15.5,amc hornet,1/01/1970,97.0,Medio
21.0,6,USA,2587,200.0,16.0,ford maverick,1/01/1970,85.0,Medio
27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1970,88.0,Medio
26.0,4,Europe,1835,97.0,20.5,volkswagen 1131 deluxe sedan,1/01/1970,46.0,Bajo
25.0,4,Europe,2672,110.0,17.5,peugeot 504,1/01/1970,87.0,Medio
24.0,4,Europe,2430,107.0,14.5,audi 100 ls,1/01/1970,90.0,Medio
25.0,4,Europe,2375,104.0,17.5,saab 99e,1/01/1970,95.0,Medio
26.0,4,Europe,2234,121.0,12.5,bmw 2002,1/01/1970,113.0,Medio
21.0,6,USA,2648,199.0,15.0,amc gremlin,1/01/1970,90.0,Medio
10.0,8,USA,4615,360.0,14.0,ford f250,1/01/1970,215.0,Alto
10.0,8,USA,4376,307.0,15.0,chevy c20,1/01/1970,200.0,Alto
11.0,8,USA,4382,318.0,13.5,dodge d200,1/01/1970,210.0,Alto
9.0,8,USA,4732,304.0,18.5,hi 1200d,1/01/1970,193.0,Alto
27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1971,88.0,Medio
28.0,4,USA,2264,140.0,15.5,chevrolet vega 2300,1/01/1971,90.0,Medio
25.0,4,Japan,2228,113.0,14.0,toyota corona,1/01/1971,95.0,Medio
25.0,4,USA,2046,98.0,19.0,ford pinto,1/01/1971,105.08,Medio
23.51,4,Europe,1978,97.0,20.0,volkswagen super beetle 117,1/01/1971,48.0,Bajo
19.0,6,USA,2634,232.0,13.0,amc gremlin,1/01/1971,100.0,Medio
16.0,6,USA,3439,225.0,15.5,plymouth satellite custom,1/01/1971,105.0,Medio
17.0,6,USA,3329,250.0,15.5,chevrolet chevelle malibu,1/01/1971,100.0,Medio
19.0,6,USA,3302,250.0,15.5,ford torino 500,1/01/1971,88.0,Medio
18.0,6,USA,3288,232.0,15.5,amc matador,1/01/1971,100.0,Medio
14.0,8,USA,4209,350.0,12.0,chevrolet impala,1/01/1971,165.0,Alto
14.0,8,USA,4464,400.0,11.5,pontiac catalina brougham,1/01/1971,175.0,Alto
14.0,8,USA,4154,351.0,13.5,ford galaxie 500,1/01/1971,153.0,Alto
14.0,8,USA,4096,318.0,13.0,plymouth fury iii,1/01/1971,150.0,Alto
12.0,8,USA,4955,383.0,11.5,dodge monaco (sw),1/01/1971,180.0,Alto
13.0,8,USA,4746,400.0,12.0,ford country squire (sw),1/01/1971,170.0,Alto
